iter	Passed	Remaining
0	70	70709
1	72	36393
2	74	24920
3	80	19943
4	81	16145
5	82	13602
6	83	11780
7	83	10415
8	84	9354
9	85	8509
10	87	7833
11	88	7246
12	88	6739
13	89	6301
14	90	5922
15	90	5596
16	91	5298
17	92	5039
18	93	4804
19	93	4589
20	94	4399
21	95	4227
22	96	4079
23	96	3935
24	97	3803
25	98	3676
26	98	3567
27	99	3460
28	100	3360
29	100	3265
30	101	3177
31	102	3095
32	103	3019
33	103	2945
34	104	2875
35	105	2812
36	105	2750
37	106	2690
38	106	2634
39	107	2585
40	108	2535
41	109	2488
42	109	2443
43	110	2397
44	111	2357
45	111	2317
46	112	2278
47	113	2241
48	113	2205
49	114	2173
50	114	2139
51	115	2112
52	116	2083
53	117	2054
54	117	2025
55	118	1996
56	119	1971
57	119	1945
58	120	1921
59	121	1897
60	121	1873
61	122	1852
62	123	1831
63	123	1809
64	124	1791
65	125	1772
66	125	1752
67	126	1733
68	127	1715
69	127	1698
70	128	1681
71	129	1667
72	129	1650
73	130	1634
74	131	1619
75	131	1604
76	132	1589
77	133	1574
78	133	1561
79	134	1547
80	135	1533
81	135	1520
82	136	1508
83	137	1496
84	137	1484
85	138	1473
86	139	1461
87	139	1449
88	140	1438
89	141	1427
90	141	1417
91	142	1407
92	143	1397
93	144	1387
94	144	1378
95	145	1367
96	145	1358
97	146	1348
98	147	1339
99	147	1329
100	148	1320
101	148	1311
102	149	1303
103	150	1295
104	150	1287
105	151	1279
106	152	1271
107	152	1263
108	153	1256
109	154	1249
110	155	1241
111	155	1234
112	156	1227
113	156	1219
114	157	1212
115	158	1211
116	159	1205
117	160	1198
118	161	1192
119	161	1187
120	162	1180
121	163	1173
122	163	1167
123	164	1161
124	165	1155
125	165	1149
126	166	1144
127	167	1138
128	167	1132
129	168	1126
130	168	1120
131	169	1114
132	170	1108
133	170	1102
134	171	1097
135	172	1092
136	172	1087
137	173	1082
138	173	1077
139	174	1073
140	175	1068
141	175	1062
142	176	1058
143	177	1053
144	177	1048
145	178	1044
146	179	1040
147	179	1035
148	180	1031
149	181	1027
150	181	1022
151	182	1018
152	183	1013
153	183	1009
154	184	1005
155	185	1001
156	185	997
157	186	993
158	187	989
159	188	987
160	188	984
161	189	980
162	190	976
163	190	972
164	191	968
165	192	965
166	192	961
167	193	957
168	193	953
169	194	949
170	195	946
171	195	942
172	196	939
173	197	935
174	197	932
175	198	928
176	198	925
177	199	921
178	200	918
179	201	916
180	202	914
181	202	911
182	203	908
183	204	905
184	205	903
185	205	900
186	206	897
187	206	893
188	207	891
189	208	888
190	209	885
191	209	882
192	210	879
193	210	876
194	211	873
195	212	870
196	212	867
197	213	864
198	214	861
199	214	858
